customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,IsMonthToMonth,ContractStability,IsElectronicCheck,PaymentStability,FinancialRiskScore,TenureRisk,IsNewCustomer,IsVeryNewCustomer,TenureSegment,LifecycleValue,RevenueAcceleration,HasTechSupport,HasOnlineSecurity,HasBackup,ProtectionScore,FullyProtected,NoProtection,ServiceVulnerability,ServiceCount,RevenuePerService,PriceDeviation,IsPriceSensitive,EstimatedMargin,CumulativeProfit,DigitalAdoption,IsStreamingUser,IsPureStreaming,ContractValueAlignment,RiskyNewCustomer,VulnerableHighValue,UnstableCustomer,EarlyServiceOverload,MonthlyCharges_ZScore,TotalCharges_ZScore,ChargesPercentile,TenurePercentile,ExpectedTotalCharges,ChargesConsistency,ChurnRiskScore,RiskCategory,DataSegment,SegmentName
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,1,0.0,1,0.0,1.0,0.9200444146293233,1,1,Onboarding,29.85,-14.925,0,0,1,1,0,0,0.75,2,9.950000000000001,-39.449999999999996,1,-0.14999999999999858,-0.14999999999999858,0.5,0,0,1,1,0,1,0,-1.1603229160349193,-0.9942419353101233,0.23377821950873207,0.04515121397131904,29.85,1.0,0.8800111036573308,Critical Risk,1,Value Seekers
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,0.5,0,0.33,0.08039999999999999,0.05881647164242988,0,0,Established,1936.3000000000002,-2.9642857142857153,0,1,0,2,0,0,0.5,4,11.39,-25.0,1,16.950000000000003,576.3000000000001,0.25,0,0,0,0,0,0,0,-0.2596289419448806,-0.17324412574959375,0.3941502200766719,0.5497657248331677,1936.3000000000002,0.9758426676302069,0.21784411791060748,Low Risk,0,Digital Natives
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,0.0,0,0.33,0.5074,0.8464817248906141,1,1,Onboarding,107.7,-17.799999999999997,0,1,1,2,0,0,0.5,4,10.77,-28.1,1,13.850000000000001,27.700000000000003,0.75,0,0,0,1,0,0,0,-0.3626603559551803,-0.9596740712020441,0.35517535141275025,0.10556581002413744,107.7,0.9958601655933762,0.5142104312226535,High Risk,3,Basic Users
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,0.5,0,0.67,0.039599999999999996,0.023517745856009107,0,0,Established,1903.4999999999998,-2.283695652173911,1,1,0,3,0,0,0.25,4,8.459999999999999,-39.650000000000006,1,2.299999999999997,103.49999999999987,0.5,0,0,0,0,0,0,0,-0.7465354629935549,-0.19476626336477718,0.26835155473519806,0.6485872497515264,1903.4999999999998,0.9670517196114466,0.11973943646400227,Low Risk,3,Basic Users
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,0.0,1,0.0,1.0,0.8464817248906141,1,1,Onboarding,141.4,-20.15,0,0,0,0,0,1,1.0,2,23.566666666666666,1.4000000000000057,0,40.7,81.4,0.25,0,0,0,1,0,1,0,0.19736523310080326,-0.9404697022531111,0.5075961948033508,0.10556581002413744,141.4,0.9280196629213483,0.9366204312226535,Critical Risk,4,Growth Potentials
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,0.0,1,0.0,1.0,0.513417119032592,1,0,First Year,797.2,-8.483333333333334,0,0,0,1,0,0,0.75,5,16.608333333333334,9.100000000000009,0,54.650000000000006,437.20000000000005,0.25,1,0,0,1,0,1,0,1.1595456961969886,-0.6451859741727949,0.865824222632401,0.237682805622604,797.2,0.9708093209721875,0.803354279758148,Critical Risk,4,Growth Potentials
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,1,0.0,0,1.0,0.427,0.1598797460796939,0,0,Growing,1960.1999999999998,-4.34347826086956,0,0,1,1,0,0,0.75,4,17.82,7.1499999999999915,0,49.099999999999994,1080.1999999999998,0.75,1,0,0,0,0,0,0,0.8089065291619363,-0.14679948896704018,0.7332102797103507,0.4240380519664915,1960.1999999999998,0.994493167448501,0.36441993651992355,Moderate Risk,3,Basic Users
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,1,0.0,0,0.33,0.5074,0.4345982085070782,1,0,First Year,297.5,-2.3045454545454582,0,1,0,1,0,0,0.75,2,9.916666666666666,-39.55,1,-0.25,-2.5,0.25,0,0,1,1,0,0,0,-1.1636465100352518,-0.8741373704237511,0.232713332386767,0.2715462161010933,297.5,0.9852596314907873,0.5112395521267696,High Risk,1,Value Seekers
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,0.0,1,0.0,1.0,0.09697196786440505,0,0,Established,2934.4,0.2362068965517352,1,0,0,2,0,0,0.5,6,14.971428571428572,6.049999999999997,0,54.8,1534.3999999999999,0.25,1,0,0,0,0,1,0,1.330710787214099,0.3373492744317471,0.9231151497941218,0.4925457901462445,2934.4,0.9619642978810383,0.6492429919661012,High Risk,0,Digital Natives
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,0.5,0,0.67,0.039599999999999996,0.005703548998007402,0,0,Loyal,3481.2999999999997,-0.7857142857142847,0,1,1,2,0,0,0.5,4,11.23,-25.800000000000004,1,16.15,1001.3,0.75,0,0,0,0,0,0,0,-0.28621769394753876,0.5324391741681479,0.3886128070424535,0.8160584977992332,3481.2999999999997,0.9980903425896677,0.14028588724950186,Low Risk,5,Flight Risks
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1,0.0,0,0.33,0.5074,0.3384654251067422,0,0,Growing,649.35,-7.989285714285714,0,1,0,1,0,0,0.75,3,12.4875,-24.624999999999986,1,14.950000000000003,194.35000000000002,0.5,0,0,0,0,0,0,0,-0.4922805219681379,-0.7480728289670203,0.3254295044725259,0.3181882720431634,649.35,0.9048204812793111,0.46220635627668555,Moderate Risk,4,Growth Potentials
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,1.0,0,1.0,0.0,0.26359713811572677,0,0,Growing,303.2,0.2735294117647058,0,0,0,0,0,1,0.0,1,9.475,-1.25,0,-6.050000000000001,-96.80000000000001,0.25,0,0,0,0,0,0,0,-1.5225946620711341,-0.8631445247495343,0.003336646315490558,0.35645321595910834,303.2,0.9224194608809992,0.1408992845289317,Low Risk,2,Premium Loyalists
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,0.5,0,1.0,0.0,0.00795994384870645,0,0,Loyal,5820.299999999999,-4.060169491525414,0,0,0,1,0,0,0.75,5,16.724999999999998,9.799999999999997,0,55.349999999999994,3210.2999999999997,0.25,1,0,0,0,0,0,0,1.182810854199314,1.5006704790038297,0.8783188981967911,0.7762317194377396,5820.299999999999,0.9760878154364148,0.22698998596217665,Low Risk,3,Basic Users
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,0.0,0,0.67,0.4666,0.01685120125994751,0,0,Loyal,5081.3,-2.9740000000000038,0,0,1,2,0,0,0.5,6,14.814285714285715,4.950000000000003,0,53.7,2631.3,0.75,1,0,0,0,0,0,0,1.2941512532104444,1.2160043388136705,0.9068578730654551,0.6868521936674713,5081.3,0.9911457411014698,0.2925228003149869,Low Risk,3,Basic Users
